Wall time,Step,Value
1618157193.9465165,58,9.215056419372559
1618157203.9808989,118,6.152987957000732
1618157214.154415,179,5.074916839599609
1618157224.317407,240,4.427638530731201
1618157234.4865303,301,5.009737491607666
1618157244.653708,362,4.3897552490234375
1618157254.663985,422,4.152782440185547
1618157264.8231075,483,3.7166757583618164
1618157274.989404,544,4.542699813842773
1618157285.1552095,605,3.986287832260132
1618157295.3311691,666,4.6484246253967285
1618157305.4108207,726,4.459558010101318
1618157315.5673425,787,3.7612061500549316
1618157323.4134734,834,3.7282073497772217
1618157360.6578937,903,3.789595365524292
1618157370.7919898,975,3.7478067874908447
1618157380.9283977,1047,3.8390448093414307
1618157391.0624528,1119,3.5140631198883057
1618157401.1087024,1190,4.2154717445373535
1618157411.1641295,1261,4.576262474060059
1618157421.1969464,1332,3.3781003952026367
1618157431.2392025,1403,4.073486328125
1618157441.2686074,1474,3.640745162963867
1618157451.296849,1545,3.921640634536743
1618157461.3272867,1616,2.8763506412506104
1618157468.7326431,1668,3.625300645828247
1618157504.663754,1738,3.4806652069091797
1618157514.7225132,1809,3.2244033813476562
1618157524.7818966,1880,3.842838764190674
1618157534.8639255,1951,3.471956729888916
1618157544.9530199,2021,3.711817979812622
1618157554.982163,2092,3.8495569229125977
1618157565.098862,2163,3.2110462188720703
1618157575.2357414,2234,3.473440647125244
1618157585.2844834,2304,3.356874465942383
1618157595.3890398,2375,2.8583147525787354
1618157605.4076173,2445,3.8252675533294678
1618157613.487625,2502,3.605036497116089
1618157646.3284614,2573,3.298082113265991
1618157656.3834612,2644,2.951711654663086
1618157666.410672,2715,3.1687800884246826
1618157676.4505298,2786,2.913957118988037
1618157686.5015173,2857,3.0813961029052734
1618157696.5424418,2928,2.763096809387207
1618157706.6423678,2999,2.828988552093506
1618157716.7968383,3070,3.1267752647399902
1618157726.9091272,3141,3.219695806503296
1618157736.944491,3212,3.0942490100860596
1618157746.986645,3283,2.9799885749816895
1618157754.4703743,3336,3.1617324352264404
1618157787.3269835,3407,3.0108516216278076
1618157797.4044046,3478,3.0155229568481445
1618157807.4391513,3549,2.5723116397857666
1618157817.5785453,3621,2.597900390625
1618157827.6208649,3692,2.8058416843414307
1618157837.631559,3763,2.3879024982452393
1618157847.655603,3834,2.7558586597442627
1618157857.7925248,3906,2.8016695976257324
1618157867.8790843,3977,3.2287917137145996
1618157877.9100595,4048,2.917759418487549
1618157887.9705565,4119,2.9045701026916504
1618157895.190682,4170,2.769854784011841
1618157931.2210836,4241,2.757657766342163
1618157941.264703,4312,2.267063856124878
1618157951.3499696,4383,2.8383612632751465
1618157961.4001327,4454,2.6445817947387695
1618157971.4273744,4525,2.767577886581421
1618157981.451696,4596,2.442155361175537
1618157991.4736574,4667,2.8281500339508057
1618158001.4956343,4738,2.772034168243408
1618158011.5594256,4809,2.497617244720459
1618158021.5904796,4880,2.6609854698181152
1618158031.610121,4951,2.4665050506591797
1618158039.0907822,5004,2.492043972015381
1618158074.8541539,5065,2.801722526550293
1618158084.9001439,5126,2.5619149208068848
1618158094.949653,5187,2.782135248184204
1618158105.0012248,5248,2.6744942665100098
1618158115.0340874,5309,2.4755640029907227
1618158125.0806541,5370,3.3195226192474365
1618158135.1628978,5431,3.003248691558838
1618158145.2438886,5497,2.423335313796997
1618158155.2921627,5568,2.2184767723083496
1618158165.33392,5639,2.452420473098755
1618158175.3699205,5709,2.592909574508667
1618158185.4055142,5780,2.322284460067749
1618158193.6052635,5838,2.221639394760132
1618158226.5215628,5909,2.746692180633545
1618158236.549974,5980,2.506951332092285
1618158246.570748,6051,2.5485854148864746
1618158256.603922,6122,2.446493148803711
1618158266.615459,6193,2.8067543506622314
1618158276.7589064,6265,2.2887587547302246
1618158286.7725494,6336,2.6686222553253174
1618158296.8141131,6407,2.4898810386657715
1618158306.878737,6478,2.2246756553649902
1618158316.9655645,6547,2.1481616497039795
1618158327.0041437,6618,2.457249402999878
1618158334.6440508,6672,2.7330520153045654
1618158370.5618994,6742,2.326479911804199
1618158380.5877044,6813,2.6254265308380127
1618158390.6468964,6884,2.8458123207092285
1618158400.7273548,6955,2.724386215209961
1618158410.764363,7026,2.2664875984191895
1618158420.802214,7097,2.710294723510742
1618158430.8675454,7168,2.4404444694519043
1618158440.933798,7239,2.274629831314087
1618158450.9865897,7310,2.5522541999816895
1618158461.02354,7381,2.608391284942627
1618158471.0550506,7452,2.2441658973693848
1618158478.6838963,7506,2.5169575214385986
1618158514.657263,7576,2.1252808570861816
1618158524.6902823,7647,2.2374672889709473
1618158534.7351363,7718,2.263673782348633
1618158544.825984,7789,2.2359611988067627
1618158554.9509234,7860,2.3483760356903076
1618158565.0015643,7931,2.3464744091033936
1618158575.0832033,8002,2.2267208099365234
1618158585.1221497,8073,2.289968729019165
1618158595.198643,8144,2.2603843212127686
1618158605.2678828,8215,2.1902148723602295
1618158615.3869073,8286,2.684544563293457
1618158623.0243497,8340,2.0684571266174316
1618158655.9017055,8411,2.1338512897491455
1618158666.033706,8482,2.270918130874634
1618158676.1388638,8553,2.0084755420684814
1618158686.1629999,8624,2.1163322925567627
1618158696.2040458,8695,2.123793840408325
1618158706.2579935,8766,2.1960771083831787
1618158716.321028,8837,2.3119330406188965
1618158726.373474,8908,2.1607961654663086
1618158736.4575455,8979,2.1374499797821045
1618158746.5836835,9050,2.556978464126587
1618158756.5987973,9121,2.163534164428711
1618158764.1361158,9174,2.371711492538452
1618158796.9435601,9245,2.424034833908081
1618158807.0059922,9316,2.0462124347686768
1618158817.044783,9387,2.399167776107788
1618158827.094186,9458,2.236936330795288
1618158837.116601,9529,2.1167402267456055
1618158847.1493084,9600,2.1808173656463623
1618158857.2206204,9671,2.1450002193450928
1618158867.2883704,9742,2.066556453704834
1618158877.3811188,9812,2.190289258956909
1618158887.5378213,9873,2.290534734725952
1618158897.698228,9934,2.3113927841186523
1618158907.7743175,9994,2.368875503540039
1618158910.1964667,10008,2.229001760482788
1618158944.7528226,10069,2.389819383621216
1618158954.8840094,10130,2.117701530456543
1618158965.0151427,10191,2.129500389099121
1618158975.144257,10252,2.2257983684539795
1618158985.2582066,10313,2.0755138397216797
1618158995.3813057,10374,2.272885322570801
1618159005.5013673,10435,2.17118239402771
1618159015.666728,10496,2.319416046142578
1618159025.8160956,10557,2.2950072288513184
1618159035.985755,10618,2.628296375274658
1618159046.0863495,10679,2.031524181365967
1618159056.2163973,10740,2.0384416580200195
1618159066.3559115,10801,2.53147554397583
1618159073.1625035,10842,1.8712068796157837
1618159107.7453148,10903,2.223895311355591
1618159117.8754013,10964,2.1643283367156982
1618159128.0088532,11025,2.0746281147003174
1618159138.166213,11086,2.1668097972869873
1618159148.2104383,11146,2.1892502307891846
1618159158.3467731,11207,2.1566619873046875
1618159168.459955,11268,1.9988447427749634
1618159178.5769463,11329,2.30667781829834
1618159188.7032962,11390,1.9716205596923828
1618159198.8784113,11451,2.4502837657928467
1618159209.0016754,11516,2.3256733417510986
1618159219.0324314,11586,2.0134987831115723
1618159229.0445955,11656,2.0694236755371094
1618159231.9093766,11676,1.9337118864059448
