Wall time,Step,Value
1618322702.9277213,67,2.0976064205169678
1618322713.0120544,134,1.6985667943954468
1618322723.0467122,203,1.7065415382385254
1618322733.1257362,273,1.3144227266311646
1618322743.2074547,342,1.6512508392333984
1618322753.344887,412,1.516895055770874
1618322763.426347,482,1.5664955377578735
1618322773.5356042,552,1.4827581644058228
1618322783.6154206,622,1.389119029045105
1618322793.654088,691,1.3760128021240234
1618322803.7310941,761,1.3628345727920532
1618322813.8234913,831,1.3661261796951294
1618322814.2731235,834,1.0506513118743896
1618322849.8544207,904,1.4382059574127197
1618322859.884673,974,1.4862425327301025
1618322870.0338135,1045,1.4620548486709595
1618322880.0516534,1115,1.3097361326217651
1618322890.0893655,1185,1.102846384048462
1618322900.1655512,1255,1.2761229276657104
1618322910.2195585,1325,1.3611953258514404
1618322920.2683396,1395,1.2323458194732666
1618322930.297134,1465,1.1788073778152466
1618322940.3222408,1535,1.3131983280181885
1618322950.3395314,1605,1.3081494569778442
1618322959.4395318,1668,1.14931058883667
1618322995.1242864,1738,1.1044517755508423
1618323005.177635,1808,1.302736520767212
1618323015.2871022,1878,1.045486330986023
1618323025.3376439,1948,1.2827423810958862
1618323035.419597,2018,1.2663973569869995
1618323045.5088427,2088,1.1775388717651367
1618323055.5946634,2158,1.3771448135375977
1618323065.6506329,2228,1.2827807664871216
1618323075.694696,2297,1.4290976524353027
1618323085.7100513,2367,1.2266227006912231
1618323095.8583052,2438,1.1612390279769897
1618323105.0563724,2502,0.983851432800293
1618323137.892227,2572,1.1260498762130737
1618323147.983551,2642,1.2772891521453857
1618323158.0088086,2712,1.1847455501556396
1618323168.0217571,2782,1.058132529258728
1618323178.1657329,2853,1.171804428100586
1618323188.245973,2923,1.047250509262085
1618323198.3273602,2993,1.1264586448669434
1618323208.3471441,3063,1.051137089729309
1618323218.3833416,3133,1.217585802078247
1618323228.4422843,3203,1.0905914306640625
1618323238.5897498,3274,1.0707818269729614
1618323247.4666913,3336,1.1425315141677856
1618323283.1532035,3406,1.0196524858474731
1618323293.165971,3476,0.9226363897323608
1618323303.2994673,3546,0.9513661861419678
1618323313.407514,3615,1.0588761568069458
1618323323.4494345,3685,1.0086944103240967
1618323333.4881032,3755,1.1269769668579102
1618323343.6125772,3825,1.046917200088501
1618323353.6375277,3895,0.8892614841461182
1618323363.704878,3965,1.0110554695129395
1618323373.7630122,4035,1.146618366241455
